security,ts_code,symbol,name,cnspell,market,list_date
000701.XSHE,000701.SZ,000701,厦门信达,XMXD,主板,19970226
000702.XSHE,000702.SZ,000702,正虹科技,ZHKJ,主板,19970318
000703.XSHE,000703.SZ,000703,恒逸石化,HYSH,主板,19970328
000705.XSHE,000705.SZ,000705,浙江震元,ZJZY,主板,19970410
000707.XSHE,000707.SZ,000707,双环科技,SHKJ,主板,19970415
000708.XSHE,000708.SZ,000708,中信特钢,ZXTG,主板,19970326
000709.XSHE,000709.SZ,000709,河钢股份,HGGF,主板,19970416
000710.XSHE,000710.SZ,000710,贝瑞基因,BRJY,主板,19970422
000711.XSHE,000711.SZ,000711,ST京蓝,STJL,主板,19970411
000712.XSHE,000712.SZ,000712,锦龙股份,JLGF,主板,19970415
000713.XSHE,000713.SZ,000713,国投丰乐,GTFL,主板,19970422
000715.XSHE,000715.SZ,000715,中兴商业,ZXSY,主板,19970508
000716.XSHE,000716.SZ,000716,黑芝麻,HZM,主板,19970418
000717.XSHE,000717.SZ,000717,中南股份,ZNGF,主板,19970508
000718.XSHE,000718.SZ,000718,苏宁环球,SNHQ,主板,19970408
000719.XSHE,000719.SZ,000719,中原传媒,ZYCM,主板,19970331
000720.XSHE,000720.SZ,000720,新能泰山,XNTS,主板,19970509
000721.XSHE,000721.SZ,000721,西安饮食,XAYS,主板,19970430
000722.XSHE,000722.SZ,000722,湖南发展,HNFZ,主板,19970522
000723.XSHE,000723.SZ,000723,美锦能源,MJNY,主板,19970515
000725.XSHE,000725.SZ,000725,京东方Ａ,JDFＡ,主板,20010112
000726.XSHE,000726.SZ,000726,鲁  泰Ａ,LTＡ,主板,20001225
000727.XSHE,000727.SZ,000727,冠捷科技,GJKJ,主板,19970520
000728.XSHE,000728.SZ,000728,国元证券,GYZQ,主板,19970616
000729.XSHE,000729.SZ,000729,燕京啤酒,YJPJ,主板,19970716
000731.XSHE,000731.SZ,000731,四川美丰,SCMF,主板,19970617
000733.XSHE,000733.SZ,000733,振华科技,ZHKJ,主板,19970703
000735.XSHE,000735.SZ,000735,罗 牛 山,LNS,主板,19970611
000736.XSHE,000736.SZ,000736,*ST中地,STZD,主板,19970425
000737.XSHE,000737.SZ,000737,北方铜业,BFTY,主板,19970428
000738.XSHE,000738.SZ,000738,航发控制,HFKZ,主板,19970626
000739.XSHE,000739.SZ,000739,普洛药业,PLYY,主板,19970509
000750.XSHE,000750.SZ,000750,国海证券,GHZQ,主板,19970709
000751.XSHE,000751.SZ,000751,锌业股份,XYGF,主板,19970626
000752.XSHE,000752.SZ,000752,*ST西发,STXF,主板,19970625
000753.XSHE,000753.SZ,000753,漳州发展,ZZFZ,主板,19970626
000755.XSHE,000755.SZ,000755,山西高速,SXGS,主板,19970627
000756.XSHE,000756.SZ,000756,新华制药,XHZY,主板,19970806
000757.XSHE,000757.SZ,000757,浩物股份,HWGF,主板,19970627
000758.XSHE,000758.SZ,000758,中色股份,ZSGF,主板,19970416
000759.XSHE,000759.SZ,000759,中百集团,ZBJT,主板,19970519
000761.XSHE,000761.SZ,000761,本钢板材,BGBC,主板,19980115
000762.XSHE,000762.SZ,000762,西藏矿业,XZKY,主板,19970708
000766.XSHE,000766.SZ,000766,通化金马,THJM,主板,19970430
000767.XSHE,000767.SZ,000767,晋控电力,JKDL,主板,19970609
000768.XSHE,000768.SZ,000768,中航西飞,ZHXF,主板,19970626
000776.XSHE,000776.SZ,000776,广发证券,GFZQ,主板,19970611
000777.XSHE,000777.SZ,000777,中核科技,ZHKJ,主板,19970710
000778.XSHE,000778.SZ,000778,新兴铸管,XXZG,主板,19970606
000779.XSHE,000779.SZ,000779,甘咨询,GZX,主板,19970528
000782.XSHE,000782.SZ,000782,恒申新材,HSXC,主板,19970619
000783.XSHE,000783.SZ,000783,长江证券,CJZQ,主板,19970731
